NMec = 98629
T = 24
P = 5
Profits not ignored
Solution time = 1.575e-02
Best Profit = 32777
Terminal Cases = 1433130
Task date  Profit    P
  0   47    7287     0   
  1   18    2029     1   
  3   16    1758     2   
  3   20    3532     3   
  5   19    1465     4   
  7   9     868      -1  
  7   20    3123     -1  
  7   23    2611     -1  
  9   18    1058     -1  
  11  36    2398     -1  
  13  46    4193     -1  
  15  24    2111     -1  
  15  25    834      -1  
  15  27    3074     -1  
  17  35    2618     2   
  17  40    6378     -1  
  20  29    1149     1   
  20  37    2979     4   
  20  38    2550     -1  
  24  30    834      3   
  24  36    2466     -1  
  29  47    2183     -1  
  31  35    1230     1   
  33  38    1274     3   
End
