NMec = 98629
T = 21
P = 6
Profits not ignored
Solution time = 4.772e-03
Best Profit = 25360
Terminal Cases = 425850
Task date  Profit    P
  1   10    1204     0   
  1   18    2925     1   
  2   20    2017     2   
  2   27    3422     3   
  3   22    3263     4   
  4   20    2220     5   
  5   31    3432     -1  
  6   29    3575     -1  
  7   31    2324     -1  
  8   12    496      -1  
  10  20    2585     -1  
  10  33    2066     -1  
  11  23    1375     0   
  12  25    3025     -1  
  15  28    1579     -1  
  17  25    1474     -1  
  19  30    1841     1   
  20  30    1350     -1  
  23  32    974      2   
  23  34    2380     4   
  23  34    1130     5   
End
