NMec = 98629
T = 25
P = 2
Profits not ignored
Solution time = 5.567e-03
Best Profit = 38498
Terminal Cases = 623792
Task date  Profit    P
  3   13    1340     0   
  8   26    3391     1   
  10  36    6271     -1  
  15  30    2585     0   
  18  20    510      -1  
  19  35    2967     -1  
  33  55    5324     0   
  34  38    1045     1   
  37  55    3817     -1  
  40  99    13567    1   
  43  61    4058     -1  
  45  51    1942     -1  
  55  82    4415     -1  
  60  75    2262     0   
  66  81    3862     -1  
  66  86    2377     -1  
  69  80    1701     -1  
  69  93    3949     -1  
  71  82    1627     -1  
  79  85    1019     0   
  84  90    880      -1  
  97  112   2394     0   
  101 122   2275     1   
  103 105   417      -1  
  109 123   1735     -1  
End
