NMec = 98629
T = 34
P = 8
Profits not ignored
Solution time = 1.911e+01
Best Profit = 51030
Terminal Cases = 1998507984
Task date  Profit    P
  0   8     843      0   
  1   7     784      1   
  1   40    6058     2   
  2   14    1919     3   
  2   39    7972     4   
  3   27    4640     5   
  7   23    3878     6   
  9   29    4193     0   
  11  20    2490     1   
  12  25    1470     7   
  12  30    2295     -1  
  13  39    2967     -1  
  16  24    1183     3   
  16  24    1558     -1  
  18  29    2971     -1  
  18  33    1266     -1  
  18  41    1747     -1  
  21  39    3586     1   
  21  40    4337     -1  
  23  33    1648     -1  
  23  37    3791     -1  
  24  29    959      6   
  24  34    2172     -1  
  24  41    3355     -1  
  25  34    1174     3   
  25  40    2176     -1  
  25  41    2667     -1  
  26  32    1869     7   
  27  32    800      -1  
  28  34    701      5   
  31  34    273      0   
  31  38    701      6   
  34  41    937      7   
  40  42    658      0   
End
