NMec = 98629
T = 31
P = 4
Profits not ignored
Solution time = 1.626e+00
Best Profit = 62048
Terminal Cases = 157200007
Task date  Profit    P
  1   17    1290     0   
  1   77    18836    1   
  3   12    1733     2   
  5   24    2461     3   
  6   15    999      -1  
  11  21    2504     -1  
  12  26    3821     -1  
  14  66    12735    2   
  18  34    4270     0   
  21  24    856      -1  
  22  35    2831     -1  
  23  33    2089     -1  
  24  30    636      -1  
  25  39    3007     3   
  30  43    1398     -1  
  33  43    1045     -1  
  35  60    7210     0   
  36  51    1786     -1  
  45  55    734      3   
  45  67    3739     -1  
  47  75    5547     -1  
  50  73    2277     -1  
  55  56    384      -1  
  57  61    1009     3   
  57  69    1785     -1  
  57  76    3849     -1  
  58  63    500      -1  
  59  67    1627     -1  
  61  74    3217     0   
  67  71    1403     2   
  67  71    403      3   
End
