NMec = 98629
T = 20
P = 5
Profits not ignored
Solution time = 3.023e-03
Best Profit = 20224
Terminal Cases = 350162
Task date  Profit    P
  0   20    4966     0   
  0   20    2017     1   
  1   22    2357     2   
  5   8     633      3   
  6   17    1281     4   
  8   20    1674     -1  
  11  22    1838     3   
  13  23    2752     -1  
  15  26    1858     -1  
  16  18    550      -1  
  16  33    1759     -1  
  19  27    1682     4   
  19  28    933      -1  
  19  30    922      -1  
  19  35    2065     -1  
  22  34    1401     0   
  24  33    1026     1   
  29  32    297      2   
  31  34    325      3   
  33  38    889      2   
End
