NMec = 98629
T = 29
P = 4
Profits not ignored
Solution time = 2.970e-01
Best Profit = 41014
Terminal Cases = 31490196
Task date  Profit    P
  0   9     982      0   
  0   70    8286     1   
  1   18    3093     2   
  2   25    1749     3   
  2   49    3962     -1  
  3   11    1609     -1  
  3   72    8400     -1  
  8   24    2438     -1  
  9   13    896      -1  
  9   18    2353     -1  
  12  19    937      0   
  12  28    4180     -1  
  15  23    1209     -1  
  16  30    1826     -1  
  20  31    1459     0   
  27  37    1564     2   
  29  68    8065     3   
  30  38    1568     -1  
  32  45    3097     0   
  37  42    422      -1  
  38  47    1714     2   
  39  50    1961     -1  
  41  48    770      -1  
  41  57    1710     -1  
  41  64    5178     -1  
  50  61    1927     0   
  51  62    1803     2   
  54  61    797      -1  
  56  67    1774     -1  
End
