NMec = 98629
T = 21
P = 7
Profits not ignored
Solution time = 6.329e-03
Best Profit = 25579
Terminal Cases = 612316
Task date  Profit    P
  0   6     1216     0   
  0   15    2890     1   
  0   20    2619     2   
  1   8     2017     3   
  1   10    1675     4   
  1   15    1604     5   
  2   12    1524     6   
  2   15    1358     -1  
  2   16    1524     -1  
  3   21    1358     -1  
  4   21    3722     -1  
  6   8     715      -1  
  6   16    2938     -1  
  6   16    1405     -1  
  6   28    3144     -1  
  7   12    1134     0   
  7   26    2166     -1  
  11  16    677      3   
  11  20    1260     4   
  12  28    2626     -1  
  21  28    1925     0   
End
