NMec = 98629
T = 17
P = 8
Profits not ignored
Solution time = 8.991e-04
Best Profit = 23875
Terminal Cases = 77911
Task date  Profit    P
  2   27    2084     0   
  4   21    3637     1   
  4   26    3329     2   
  4   28    1831     3   
  5   28    1824     4   
  6   23    2359     5   
  6   24    2125     6   
  7   22    3335     7   
  8   24    2456     -1  
  8   24    2885     -1  
  12  20    1729     -1  
  14  24    2820     -1  
  17  26    2515     -1  
  18  24    948      -1  
  18  28    707      -1  
  19  28    1279     -1  
  24  25    539      1   
End
