NMec = 98629
T = 33
P = 1
Profits not ignored
Solution time = 9.683e-03
Best Profit = 51604
Terminal Cases = 818102
Task date  Profit    P
  6   32    2538     0   
  8   21    1931     -1  
  19  73    4916     -1  
  27  157   27240    -1  
  27  228   18028    -1  
  30  31    163      -1  
  36  54    4057     0   
  41  50    2384     -1  
  42  54    1797     -1  
  53  65    3143     -1  
  57  71    4175     0   
  69  73    1413     -1  
  71  81    917      -1  
  89  98    2434     0   
  110 127   2252     0   
  115 122   1458     -1  
  137 155   3679     0   
  140 150   1067     -1  
  191 306   22433    0   
  192 206   2803     -1  
  198 209   1820     -1  
  200 219   2074     -1  
  201 245   6440     -1  
  213 217   638      -1  
  254 265   1176     -1  
  259 266   841      -1  
  266 281   3865     -1  
  267 284   2934     -1  
  272 281   2450     -1  
  272 284   3351     -1  
  274 280   508      -1  
  289 299   2745     -1  
  294 305   2324     -1  
End
