NMec = 98629
T = 16
P = 5
Profits not ignored
Solution time = 2.552e-04
Best Profit = 18840
Terminal Cases = 22244
Task date  Profit    P
  1   5     489      0   
  1   15    1990     1   
  1   31    7286     2   
  2   18    2383     3   
  2   27    2075     4   
  4   18    2244     -1  
  5   11    1466     -1  
  6   15    681      0   
  6   18    2659     -1  
  10  13    585      -1  
  10  18    858      -1  
  12  18    654      -1  
  12  20    545      -1  
  14  20    1330     -1  
  15  23    1568     -1  
  23  30    745      0   
End
