NMec = 98629
T = 28
P = 7
Profits not ignored
Solution time = 9.043e-01
Best Profit = 43064
Terminal Cases = 96613940
Task date  Profit    P
  0   20    3267     0   
  0   30    8583     1   
  0   37    7866     2   
  1   23    1648     3   
  2   9     697      4   
  2   12    1274     5   
  4   12    1128     6   
  4   18    3044     -1  
  6   7     222      -1  
  6   27    3479     -1  
  8   14    403      -1  
  8   18    709      -1  
  8   19    2174     -1  
  8   20    1947     -1  
  10  31    2117     4   
  13  21    1216     5   
  14  30    2922     6   
  15  24    1522     -1  
  18  33    1478     -1  
  20  28    1934     -1  
  20  31    1587     -1  
  20  38    1961     -1  
  21  25    437      0   
  21  26    809      -1  
  25  39    2931     3   
  26  27    206      0   
  27  39    1946     5   
  30  34    1481     0   
End
