NMec = 98629
T = 37
P = 3
Profits not ignored
Solution time = 1.723e+01
Best Profit = 67359
Terminal Cases = 1246101068
Task date  Profit    P
  0   123   34320    0   
  1   12    1567     1   
  23  26    737      1   
  23  33    1043     2   
  24  29    1263     -1  
  27  41    1598     1   
  30  35    786      -1  
  37  58    2493     2   
  39  60    1738     -1  
  41  58    3026     -1  
  43  52    2266     1   
  54  79    5867     1   
  56  78    4487     -1  
  57  67    2559     -1  
  60  70    1975     2   
  61  68    1610     -1  
  62  71    2154     -1  
  62  114   5461     -1  
  63  69    407      -1  
  70  93    2659     -1  
  72  87    3452     2   
  77  102   4608     -1  
  80  89    989      1   
  81  89    1211     -1  
  82  100   2596     -1  
  84  101   3297     -1  
  89  100   1178     2   
  92  108   3033     1   
  92  112   1978     -1  
  94  106   1477     -1  
  98  121   4152     -1  
  101 116   3575     2   
  103 111   851      -1  
  103 113   1619     -1  
  106 111   1073     -1  
  107 120   1190     -1  
  112 119   776      1   
End
