NMec = 98495
T = 14
P = 4
Profits not ignored
Solution time = 4.244e-05
Best Profit = 20462
Terminal Cases = 3491
Task date  Profit    P
  1   12    2253     -1  
  1   24    3281     -1  
  1   33    6512     0   
  4   16    1582     -1  
  5   16    3217     1   
  6   22    3701     2   
  8   29    4866     3   
  9   24    3633     -1  
  10  30    2507     -1  
  11  27    2239     -1  
  11  30    1923     -1  
  13  15    331      -1  
  21  33    1439     1   
  28  34    727      2   
End
