NMec = 98495
T = 21
P = 4
Profits not ignored
Solution time = 1.842e-03
Best Profit = 27717
Terminal Cases = 163698
Task date  Profit    P
  1   26    2959     0   
  3   16    1303     1   
  5   14    1237     2   
  6   35    4056     -1  
  7   29    2387     -1  
  10  18    876      -1  
  11  26    1410     3   
  15  29    3616     2   
  18  36    2856     -1  
  19  29    1795     1   
  20  30    1623     -1  
  25  42    1959     -1  
  26  35    995      -1  
  27  47    1193     -1  
  28  34    916      -1  
  28  37    1119     -1  
  29  41    3578     0   
  29  50    6395     3   
  30  47    3543     1   
  31  34    753      2   
  35  47    1128     2   
End
