NMec = 98495
T = 32
P = 6
Profits not ignored
Solution time = 6.604e+00
Best Profit = 48133
Terminal Cases = 506055951
Task date  Profit    P
  2   10    1546     0   
  4   9     497      1   
  4   18    3142     2   
  4   21    3302     3   
  6   10    1064     -1  
  6   24    2599     -1  
  6   25    1582     -1  
  6   28    2346     -1  
  7   15    1645     4   
  7   50    9250     5   
  10  17    2003     1   
  10  20    1122     -1  
  14  30    2067     -1  
  15  31    2234     -1  
  15  33    2974     -1  
  16  33    3945     0   
  17  26    1214     4   
  18  27    1017     1   
  20  41    5087     2   
  23  36    3018     3   
  23  46    2486     -1  
  26  34    996      -1  
  26  43    3843     -1  
  27  49    4266     4   
  29  32    747      -1  
  30  38    1059     -1  
  30  53    3949     1   
  32  44    1090     -1  
  32  49    2012     -1  
  33  53    1749     -1  
  38  46    2175     0   
  38  46    2077     3   
End
