NMec = 98495
T = 24
P = 4
Profits not ignored
Solution time = 2.762e-02
Best Profit = 30867
Terminal Cases = 2228784
Task date  Profit    P
  0   30    3913     0   
  1   56    6079     1   
  3   17    2820     2   
  5   22    2224     -1  
  11  21    1120     -1  
  12  30    3951     3   
  25  28    398      -1  
  25  33    1509     -1  
  25  34    2108     2   
  26  31    1682     -1  
  26  40    1674     -1  
  28  34    460      -1  
  31  38    506      0   
  34  46    1961     -1  
  34  50    3047     3   
  37  39    533      2   
  40  47    1195     -1  
  40  50    860      -1  
  40  56    1562     -1  
  40  56    4092     0   
  40  58    3818     2   
  41  50    1733     -1  
  45  50    861      -1  
  45  52    1526     -1  
End
