NMec = 98495
T = 35
P = 2
Profits not ignored
Solution time = 5.204e+00
Best Profit = 43907
Terminal Cases = 441118080
Task date  Profit    P
  0   16    2143     0   
  6   18    1390     -1  
  12  25    2020     -1  
  14  35    2853     -1  
  15  32    3763     1   
  18  28    1684     0   
  30  38    1675     0   
  34  59    4507     -1  
  35  47    2779     1   
  37  51    976      -1  
  40  57    1372     -1  
  44  61    4402     -1  
  45  48    970      -1  
  45  51    1714     0   
  51  73    2888     1   
  52  68    4013     0   
  72  93    2659     0   
  75  86    1830     1   
  84  88    1116     -1  
  87  93    711      1   
  94  100   969      0   
  96  110   1160     1   
  101 127   3604     0   
  111 128   3508     1   
  113 126   2400     -1  
  114 119   582      -1  
  117 132   1481     -1  
  117 135   1653     -1  
  133 148   2498     0   
  134 142   1798     1   
  142 152   1608     -1  
  146 149   368      1   
  154 159   1261     0   
  154 166   1336     1   
  160 167   1546     0   
End
