NMec = 98495
T = 38
P = 6
Profits not ignored
Solution time = 6.580e+01
Best Profit = 60228
Terminal Cases = 6302920170
Task date  Profit    P
  0   35    5463     0   
  1   2     364      1   
  1   57    4096     -1  
  1   59    7835     2   
  2   14    2750     -1  
  2   25    3957     3   
  3   17    1892     -1  
  3   32    7337     1   
  3   63    13988    4   
  4   15    1150     -1  
  6   15    841      -1  
  6   31    3370     -1  
  7   23    3860     -1  
  8   15    1480     -1  
  9   35    2288     -1  
  9   52    9201     5   
  10  25    2809     -1  
  11  25    1737     -1  
  14  15    158      -1  
  14  23    1965     -1  
  16  24    1029     -1  
  16  27    1002     -1  
  17  24    956      -1  
  18  30    1116     -1  
  19  31    2375     -1  
  23  37    1531     -1  
  28  46    1643     -1  
  28  51    3838     3   
  29  34    480      -1  
  31  53    3036     -1  
  33  61    1820     -1  
  38  44    1939     0   
  39  50    704      -1  
  41  63    4702     1   
  42  57    1937     -1  
  46  54    884      -1  
  47  60    1604     0   
  47  63    1245     -1  
End
