NMec = 98495
T = 15
P = 2
Profits not ignored
Solution time = 3.788e-05
Best Profit = 16713
Terminal Cases = 4278
Task date  Profit    P
  9   29    3366     0   
  10  16    1138     -1  
  11  13    479      -1  
  13  22    938      -1  
  13  30    2630     1   
  23  28    332      -1  
  30  41    2416     0   
  37  53    2246     1   
  42  51    1281     -1  
  43  55    2151     -1  
  43  57    1582     -1  
  51  63    1848     -1  
  51  67    3014     0   
  54  65    667      -1  
  58  68    3041     1   
End
