NMec = 98495
T = 28
P = 1
Profits not ignored
Solution time = 2.014e-03
Best Profit = 41096
Terminal Cases = 193443
Task date  Profit    P
  0   279   31549    -1  
  2   18    2633     -1  
  5   12    830      -1  
  7   259   38977    0   
  13  20    1131     -1  
  23  178   17243    -1  
  40  208   32954    -1  
  47  52    1667     -1  
  56  60    460      -1  
  59  76    4839     -1  
  61  77    2166     -1  
  73  81    1755     -1  
  74  89    2283     -1  
  82  90    1105     -1  
  86  107   2845     -1  
  129 133   1074     -1  
  138 144   922      -1  
  143 158   3054     -1  
  144 154   2579     -1  
  151 173   1732     -1  
  164 171   730      -1  
  181 206   2780     -1  
  184 194   2915     -1  
  204 223   2339     -1  
  206 216   1214     -1  
  230 245   2677     -1  
  231 237   620      -1  
  260 267   2119     0   
End
