NMec = 98495
T = 23
P = 7
Profits not ignored
Solution time = 1.975e-02
Best Profit = 25313
Terminal Cases = 1587884
Task date  Profit    P
  0   6     1111     0   
  1   21    1581     -1  
  1   22    2233     -1  
  1   31    4952     1   
  2   6     589      2   
  2   13    923      -1  
  2   17    1350     -1  
  3   15    1098     3   
  4   20    2624     4   
  4   27    2165     -1  
  6   12    753      -1  
  6   23    3690     5   
  8   17    1802     0   
  8   19    1505     -1  
  9   21    1371     -1  
  9   23    1803     -1  
  11  22    2696     2   
  11  28    2708     6   
  11  31    2080     -1  
  12  24    2495     -1  
  17  19    627      -1  
  17  31    3170     3   
  19  24    873      0   
End
