NMec = 98495
T = 37
P = 3
Profits not ignored
Solution time = 1.825e+01
Best Profit = 67085
Terminal Cases = 1910622811
Task date  Profit    P
  0   5     457      0   
  0   13    2035     1   
  0   18    1961     -1  
  3   16    2886     -1  
  3   16    3191     2   
  14  28    3782     0   
  15  37    4513     1   
  18  87    15175    2   
  20  29    1249     -1  
  21  38    1281     -1  
  24  25    367      -1  
  24  102   10981    -1  
  31  42    1175     -1  
  32  56    5497     0   
  33  36    749      -1  
  37  50    1108     -1  
  41  103   15245    1   
  45  58    3293     -1  
  46  54    1931     -1  
  46  60    1815     -1  
  57  65    2156     -1  
  60  65    552      -1  
  60  69    1015     -1  
  60  77    4423     0   
  61  75    1688     -1  
  68  95    3292     -1  
  72  103   3073     -1  
  76  97    3685     -1  
  77  93    2785     -1  
  78  93    1657     -1  
  83  96    1903     0   
  90  109   2787     -1  
  90  110   4255     2   
  99  112   3158     0   
  103 111   1788     -1  
  108 118   2542     -1  
  108 122   3451     1   
End
