NMec = 98495
T = 25
P = 8
Profits not ignored
Solution time = 1.632e-01
Best Profit = 29991
Terminal Cases = 22392256
Task date  Profit    P
  0   9     627      0   
  0   13    2168     1   
  1   23    4562     2   
  1   24    2263     -1  
  2   22    2646     3   
  3   13    1505     4   
  3   16    972      -1  
  3   16    3536     5   
  4   16    2076     6   
  4   16    1825     7   
  5   21    2272     -1  
  7   16    916      -1  
  8   19    905      -1  
  10  23    923      -1  
  13  25    2156     0   
  16  26    1375     1   
  16  29    906      4   
  17  19    330      -1  
  18  26    1643     5   
  18  31    1440     6   
  19  27    1944     7   
  21  25    441      -1  
  23  31    995      3   
  25  26    392      2   
  28  29    195      0   
End
