NMec = 98495
T = 18
P = 3
Profits not ignored
Solution time = 7.684e-04
Best Profit = 21551
Terminal Cases = 85232
Task date  Profit    P
  0   44    3929     -1  
  1   11    803      0   
  5   13    568      -1  
  6   13    2365     1   
  7   13    634      2   
  8   14    586      -1  
  18  24    1455     0   
  21  45    5433     1   
  24  37    2948     2   
  26  31    525      -1  
  29  33    1060     0   
  32  41    975      -1  
  33  46    1747     -1  
  35  48    3898     0   
  42  44    588      -1  
  43  51    1415     2   
  46  55    1341     1   
  55  56    199      0   
End
