NMec = 98495
T = 28
P = 5
Profits not ignored
Solution time = 9.254e-01
Best Profit = 33014
Terminal Cases = 117597568
Task date  Profit    P
  5   17    2041     0   
  7   14    721      -1  
  8   12    497      -1  
  9   11    811      1   
  9   20    2867     2   
  10  16    1188     -1  
  10  31    3425     3   
  10  36    3601     4   
  12  23    1526     1   
  12  29    1419     -1  
  14  17    738      -1  
  16  22    896      -1  
  16  25    1197     -1  
  21  25    1011     0   
  21  40    5060     2   
  23  30    970      -1  
  24  40    2187     1   
  25  38    2065     -1  
  30  34    919      0   
  31  35    466      -1  
  34  38    456      3   
  37  38    513      0   
  37  44    934      4   
  40  53    3508     0   
  44  49    444      1   
  44  55    1398     2   
  49  55    1509     3   
  51  55    804      1   
End
