NMec = 98495
T = 38
P = 4
Profits not ignored
Solution time = 2.007e+01
Best Profit = 77102
Terminal Cases = 2295127865
Task date  Profit    P
  1   72    18954    0   
  2   90    23659    1   
  2   92    13509    -1  
  3   13    1306     -1  
  3   94    17655    2   
  4   12    1017     -1  
  4   13    1013     -1  
  4   19    4024     3   
  7   11    741      -1  
  7   17    1464     -1  
  7   31    3134     -1  
  8   28    3863     -1  
  11  26    3475     -1  
  12  22    1133     -1  
  14  23    1006     -1  
  17  25    1186     -1  
  17  30    1965     -1  
  17  35    2230     -1  
  19  28    1566     -1  
  19  32    1528     -1  
  23  26    784      3   
  26  44    4208     -1  
  26  46    2447     -1  
  28  51    4021     -1  
  31  41    2797     3   
  38  57    3792     -1  
  38  65    4353     -1  
  42  49    1602     3   
  50  63    2976     3   
  51  55    692      -1  
  52  56    785      -1  
  53  69    1537     -1  
  57  63    1312     -1  
  74  90    2126     -1  
  83  89    1268     -1  
  83  92    2260     0   
  83  93    2217     -1  
  83  94    2391     3   
End
