NMec = 98495
T = 30
P = 1
Profits not ignored
Solution time = 2.924e-03
Best Profit = 55127
Terminal Cases = 414817
Task date  Profit    P
  1   195   30587    -1  
  6   293   55127    0   
  18  38    1388     -1  
  23  228   29612    -1  
  27  42    4199     -1  
  37  50    1516     -1  
  46  57    2865     -1  
  53  68    3394     -1  
  57  70    3849     -1  
  96  102   730      -1  
  98  111   2236     -1  
  114 134   1676     -1  
  133 138   1006     -1  
  136 149   2396     -1  
  140 154   1653     -1  
  144 167   2110     -1  
  152 161   1086     -1  
  168 189   4851     -1  
  172 188   2316     -1  
  177 184   1438     -1  
  177 185   2094     -1  
  178 195   2906     -1  
  187 194   1563     -1  
  205 213   1034     -1  
  229 238   1346     -1  
  233 242   1960     -1  
  233 247   1541     -1  
  249 262   2978     -1  
  279 281   360      -1  
  282 297   2433     -1  
End
