NMec = 98495
T = 34
P = 6
Profits not ignored
Solution time = 4.574e+01
Best Profit = 51724
Terminal Cases = 3460204652
Task date  Profit    P
  1   8     979      -1  
  1   9     1213     0   
  2   3     398      1   
  4   14    2242     1   
  4   15    3220     2   
  6   20    2211     -1  
  6   22    2186     -1  
  6   53    9173     3   
  7   13    1343     4   
  7   22    3897     5   
  11  16    827      -1  
  12  34    2800     -1  
  14  24    2400     0   
  14  25    3264     4   
  14  26    2243     -1  
  15  24    2427     1   
  15  33    2394     -1  
  21  25    1201     2   
  23  31    748      5   
  24  43    1704     -1  
  28  43    2347     0   
  28  46    3980     1   
  30  42    1924     2   
  30  49    5554     4   
  32  46    1750     -1  
  32  51    1519     -1  
  33  47    2043     -1  
  33  54    1704     -1  
  34  54    2762     5   
  37  56    2610     -1  
  42  45    435      -1  
  43  54    1264     -1  
  44  56    2060     0   
  45  55    1571     2   
End
