NMec = 98495
T = 32
P = 5
Profits not ignored
Solution time = 3.857e+00
Best Profit = 39476
Terminal Cases = 388832921
Task date  Profit    P
  0   63    6434     0   
  3   12    2201     1   
  4   20    2466     2   
  7   19    1778     -1  
  7   26    4769     3   
  9   11    303      -1  
  9   17    1563     -1  
  9   23    2945     4   
  10  18    1590     -1  
  11  19    964      -1  
  11  53    3592     -1  
  16  30    3529     1   
  16  39    3786     -1  
  17  25    1130     -1  
  17  29    1968     -1  
  19  26    638      -1  
  19  46    3536     -1  
  24  46    4539     2   
  25  32    1181     -1  
  25  46    4126     4   
  26  35    1947     -1  
  32  47    1760     1   
  36  44    963      3   
  39  44    660      -1  
  43  45    636      -1  
  44  48    352      -1  
  44  58    2112     -1  
  45  51    1408     3   
  47  63    1545     2   
  50  55    1120     1   
  51  61    921      4   
  53  60    750      3   
End
