NMec = 98495
T = 26
P = 3
Profits not ignored
Solution time = 1.104e-01
Best Profit = 38758
Terminal Cases = 11821210
Task date  Profit    P
  0   12    1813     0   
  4   16    1693     1   
  6   14    1308     -1  
  8   12    673      -1  
  10  17    703      -1  
  11  27    4148     2   
  14  35    3191     0   
  18  33    2434     -1  
  19  25    749      -1  
  20  30    1128     -1  
  22  38    2132     -1  
  22  39    3094     1   
  26  31    718      -1  
  33  53    3122     2   
  39  46    1335     0   
  40  63    6377     1   
  46  64    1540     -1  
  52  60    1275     0   
  55  65    1802     2   
  56  74    2183     -1  
  61  76    3763     0   
  64  73    1489     1   
  66  83    3611     2   
  76  84    809      1   
  78  82    712      -1  
  79  85    1236     0   
End
