NMec = 98495
T = 21
P = 5
Profits not ignored
Solution time = 2.099e-03
Best Profit = 27126
Terminal Cases = 182661
Task date  Profit    P
  1   11    1580     0   
  1   31    6207     1   
  2   16    1909     -1  
  3   26    5314     2   
  4   24    3235     3   
  5   20    2548     -1  
  6   20    3179     4   
  8   19    825      -1  
  9   29    2276     -1  
  9   31    4685     -1  
  11  37    3323     -1  
  12  22    1611     0   
  14  30    2748     -1  
  17  37    2862     -1  
  18  24    1306     -1  
  18  29    1792     -1  
  18  38    2819     -1  
  21  30    1791     4   
  23  37    1146     -1  
  23  40    1798     0   
  25  38    2411     3   
End
