NMec = 98495
T = 40
P = 7
Profits not ignored
Solution time = 7.593e+02
Best Profit = 64189
Terminal Cases = 72443968708
Task date  Profit    P
  1   16    4332     0   
  1   56    3559     -1  
  2   7     485      1   
  2   22    3631     2   
  2   53    11994    3   
  4   12    1363     4   
  9   30    3809     1   
  10  26    1969     -1  
  10  27    3016     -1  
  10  29    1848     -1  
  11  18    1334     5   
  12  22    1968     6   
  13  16    512      -1  
  14  24    1493     -1  
  16  55    10970    4   
  17  26    834      -1  
  18  39    3432     0   
  20  46    6055     5   
  21  31    1157     -1  
  21  33    1675     -1  
  21  39    3416     -1  
  23  32    1023     -1  
  23  41    3272     2   
  24  36    2005     6   
  26  30    529      -1  
  28  33    523      -1  
  30  48    2179     -1  
  31  46    2164     -1  
  33  46    1468     -1  
  33  52    3650     1   
  36  42    964      -1  
  36  47    1780     -1  
  36  48    2058     -1  
  36  51    1293     -1  
  36  52    1476     -1  
  37  56    2363     6   
  38  55    1733     -1  
  40  51    1871     0   
  43  48    949      -1  
  45  56    1655     2   
End
