NMec = 98495
T = 26
P = 2
Profits not ignored
Solution time = 1.439e-02
Best Profit = 36888
Terminal Cases = 1365850
Task date  Profit    P
  2   4     564      0   
  2   128   10515    -1  
  7   13    1888     0   
  12  102   7762     -1  
  14  22    1081     0   
  20  23    399      1   
  24  33    1018     0   
  31  34    754      1   
  34  128   20215    0   
  35  40    1575     1   
  35  43    986      -1  
  41  48    1362     1   
  45  68    2478     -1  
  49  57    1409     1   
  53  91    2821     -1  
  68  89    1761     -1  
  69  81    1510     -1  
  72  84    2221     1   
  80  100   3839     -1  
  84  103   2882     -1  
  85  93    1160     -1  
  86  101   2137     1   
  95  105   2016     -1  
  95  116   2231     -1  
  103 124   2265     1   
  110 119   1188     -1  
End
