NMec = 98495
T = 18
P = 1
Profits not ignored
Solution time = 6.988e-05
Best Profit = 26364
Terminal Cases = 4704
Task date  Profit    P
  17  27    2537     0   
  34  46    2209     0   
  40  41    260      -1  
  41  51    2283     -1  
  49  62    3361     0   
  68  76    2022     0   
  80  91    1489     -1  
  82  100   2238     -1  
  86  103   4855     0   
  104 115   2666     0   
  104 117   1866     -1  
  106 113   1612     -1  
  112 148   5809     -1  
  113 118   879      -1  
  117 138   4599     0   
  135 145   2940     -1  
  150 163   2841     -1  
  155 179   4115     0   
End
