NMec = 98495
T = 29
P = 2
Profits not ignored
Solution time = 1.803e-01
Best Profit = 42248
Terminal Cases = 22249740
Task date  Profit    P
  1   11    2571     0   
  5   18    3339     1   
  11  24    3331     -1  
  12  25    3127     0   
  16  37    3986     -1  
  19  31    1535     1   
  21  32    1503     -1  
  27  41    1271     -1  
  30  40    2163     0   
  33  34    304      1   
  35  38    517      1   
  46  111   11305    0   
  50  59    1669     1   
  56  64    1437     -1  
  60  80    3942     1   
  66  76    2100     -1  
  71  95    3176     -1  
  78  99    5148     -1  
  82  93    1013     1   
  94  112   3772     1   
  97  109   1715     -1  
  103 112   1122     -1  
  114 126   2547     0   
  115 123   1668     1   
  120 139   3227     -1  
  124 129   737      -1  
  125 131   656      -1  
  126 137   1661     1   
  133 141   1115     0   
End
