NMec = 98495
T = 17
P = 2
Profits not ignored
Solution time = 6.789e-05
Best Profit = 22182
Terminal Cases = 7418
Task date  Profit    P
  0   59    5888     -1  
  3   7     538      0   
  5   81    7352     -1  
  9   10    194      0   
  9   26    1744     -1  
  10  58    6541     -1  
  11  17    1629     0   
  17  32    2815     1   
  26  36    1777     0   
  28  32    702      -1  
  44  69    6521     0   
  45  63    4522     1   
  46  54    1212     -1  
  50  73    5079     -1  
  64  78    2509     -1  
  64  83    4186     1   
  66  71    1183     -1  
End
