NMec = 98495
T = 34
P = 5
Profits not ignored
Solution time = 3.815e+00
Best Profit = 38462
Terminal Cases = 360219304
Task date  Profit    P
  7   17    1272     0   
  8   24    1846     -1  
  8   65    6266     1   
  9   20    945      -1  
  10  18    1918     2   
  10  31    2514     -1  
  10  32    4287     3   
  13  31    3509     4   
  15  55    4597     -1  
  17  31    1969     -1  
  17  36    1982     -1  
  22  25    600      0   
  22  30    1127     -1  
  22  39    2824     -1  
  23  40    2809     -1  
  24  43    3573     2   
  26  43    2046     -1  
  27  36    1900     0   
  29  39    1378     -1  
  29  54    2356     -1  
  30  51    2869     -1  
  31  41    2230     -1  
  34  42    873      -1  
  34  50    1903     -1  
  35  40    1533     -1  
  37  46    2499     0   
  37  50    2171     3   
  39  49    2232     4   
  40  54    1919     -1  
  45  55    1525     2   
  50  59    2619     0   
  50  66    1874     4   
  51  67    1447     3   
  65  67    770      0   
End
