NMec = 98495
T = 37
P = 7
Profits not ignored
Solution time = 2.373e+02
Best Profit = 55734
Terminal Cases = 26202611224
Task date  Profit    P
  0   3     446      0   
  0   9     1432     1   
  0   52    4929     -1  
  1   11    1684     2   
  1   16    2410     3   
  2   10    1978     4   
  4   18    2872     0   
  4   25    1840     -1  
  5   26    1765     -1  
  5   28    4167     5   
  8   24    2257     6   
  12  25    1971     1   
  13  47    5801     2   
  17  20    488      3   
  18  36    2434     4   
  18  40    3531     -1  
  20  40    6001     0   
  23  43    3383     3   
  25  39    3113     6   
  25  45    2283     -1  
  26  31    928      1   
  27  39    1105     -1  
  29  43    1453     -1  
  31  42    1177     -1  
  31  44    2783     5   
  32  36    626      -1  
  32  44    896      -1  
  34  42    1189     -1  
  34  50    3834     1   
  35  39    631      -1  
  35  44    1258     -1  
  38  49    2794     4   
  41  52    1836     0   
  43  50    811      6   
  44  52    1044     3   
  49  52    974      2   
  49  52    293      5   
End
