NMec = 98495
T = 33
P = 8
Profits not ignored
Solution time = 2.907e+01
Best Profit = 48582
Terminal Cases = 2255515850
Task date  Profit    P
  0   1     217      0   
  0   10    1500     -1  
  0   41    4573     1   
  1   25    3014     -1  
  2   11    1244     -1  
  2   14    2721     0   
  2   23    3330     2   
  3   12    1642     -1  
  3   14    1052     -1  
  3   25    3917     3   
  3   26    5413     4   
  4   18    1797     5   
  5   28    5090     6   
  7   8     265      7   
  8   30    1576     -1  
  10  19    610      -1  
  10  28    4122     7   
  11  26    1565     -1  
  14  30    1513     -1  
  15  30    1380     -1  
  15  36    2616     -1  
  17  24    1918     0   
  18  32    1621     -1  
  19  37    1731     -1  
  20  29    2540     5   
  22  28    855      -1  
  25  33    1122     0   
  25  37    906      -1  
  25  38    3348     2   
  27  41    2545     3   
  28  41    3227     4   
  30  32    550      5   
  30  39    1887     6   
End
