NMec = 98495
T = 26
P = 4
Profits not ignored
Solution time = 3.569e-02
Best Profit = 36546
Terminal Cases = 3855824
Task date  Profit    P
  0   59    7149     -1  
  0   63    7050     -1  
  1   28    7044     0   
  1   63    8273     1   
  6   13    1318     2   
  9   15    1681     3   
  9   24    1949     -1  
  11  21    849      -1  
  14  21    2257     2   
  15  63    3838     -1  
  16  41    5327     3   
  17  33    3184     -1  
  25  50    4533     2   
  29  33    611      -1  
  30  41    1158     -1  
  31  44    2569     0   
  32  43    2021     -1  
  34  42    1367     -1  
  35  40    736      -1  
  36  46    1139     -1  
  40  49    1904     -1  
  41  47    1159     -1  
  47  49    396      0   
  51  57    936      0   
  51  63    1482     2   
  57  63    730      3   
End
