NMec = 98491
T = 32
P = 2
Profits not ignored
Solution time = 8.826e-02
Best Profit = 52931
Terminal Cases = 9454164
Task date  Profit    P
  0   3     632      -1  
  0   102   26136    -1  
  5   24    3636     -1  
  6   18    1497     -1  
  7   111   14789    -1  
  11  14    743      -1  
  12  18    1708     -1  
  12  29    4332     -1  
  16  26    1899     -1  
  20  30    1199     -1  
  21  85    13329    -1  
  34  43    903      -1  
  34  152   12768    -1  
  35  55    1602     -1  
  37  55    1941     -1  
  43  62    2353     -1  
  49  74    3246     -1  
  52  73    2143     -1  
  69  154   11382    -1  
  82  87    534      -1  
  89  99    1495     -1  
  94  110   2201     -1  
  98  102   617      -1  
  101 119   2238     -1  
  104 117   1925     -1  
  110 125   3132     -1  
  112 124   2242     -1  
  123 135   1223     -1  
  125 141   1804     -1  
  131 145   1595     -1  
  136 147   1443     -1  
  138 147   1032     -1  
End
