NMec = 98491
T = 33
P = 7
Profits not ignored
Solution time = 3.522e+01
Best Profit = 42608
Terminal Cases = -1176659024
Task date  Profit    P
  0   4     649      -1  
  1   17    4227     -1  
  3   12    1626     -1  
  3   14    1388     -1  
  3   22    1311     -1  
  4   12    985      -1  
  4   16    1826     -1  
  4   18    3029     -1  
  5   13    794      -1  
  7   11    620      -1  
  7   20    1994     -1  
  8   31    1873     -1  
  10  29    4466     -1  
  11  13    645      -1  
  12  23    3284     -1  
  12  45    2433     -1  
  13  25    1120     -1  
  15  24    1934     -1  
  16  18    268      -1  
  16  34    1921     -1  
  17  19    432      -1  
  17  28    1641     -1  
  20  22    506      -1  
  20  32    1591     -1  
  22  46    2323     -1  
  23  28    402      -1  
  24  40    1641     -1  
  25  36    2881     -1  
  26  27    216      -1  
  27  44    4381     -1  
  34  45    2946     -1  
  41  43    234      -1  
  41  47    703      -1  
End
