NMec = 98491
T = 27
P = 1
Profits not ignored
Solution time = 4.142e-03
Best Profit = 27320
Terminal Cases = 446400
Task date  Profit    P
  16  24    1161     -1  
  26  37    1420     -1  
  28  40    3483     -1  
  33  42    1718     -1  
  35  44    836      -1  
  46  57    2351     -1  
  53  64    732      -1  
  61  74    2870     -1  
  63  74    2487     -1  
  72  92    1868     -1  
  105 111   633      -1  
  119 125   1349     -1  
  122 132   2185     -1  
  125 135   1620     -1  
  138 160   3391     -1  
  141 149   2135     -1  
  142 151   1004     -1  
  144 168   3921     -1  
  161 176   1810     -1  
  184 197   2049     -1  
  199 208   1390     -1  
  199 222   2899     -1  
  211 223   2365     -1  
  217 227   1131     -1  
  226 236   2223     -1  
  229 250   3632     -1  
  247 254   926      -1  
End
