NMec = 98491
T = 17
P = 2
Profits not ignored
Solution time = 1.210e-04
Best Profit = 18466
Terminal Cases = 8208
Task date  Profit    P
  1   8     832      0   
  6   24    2462     1   
  8   24    1370     -1  
  8   25    1252     -1  
  11  19    1491     0   
  33  40    439      0   
  35  57    5693     1   
  37  50    1263     -1  
  38  46    1092     -1  
  38  55    3397     -1  
  40  63    5839     -1  
  41  53    1476     0   
  43  67    4088     -1  
  49  75    3682     -1  
  69  76    703      0   
  72  75    928      1   
  72  77    1221     -1  
End
