NMec = 98491
T = 39
P = 3
Profits not ignored
Solution time = 3.142e+01
Best Profit = 51257
Terminal Cases = 3038614688
Task date  Profit    P
  4   22    2230     0   
  8   22    1984     1   
  9   15    1661     2   
  11  27    2652     -1  
  13  17    498      -1  
  13  25    2124     -1  
  15  102   12255    -1  
  16  29    1220     2   
  19  94    9651     -1  
  31  51    2248     0   
  33  43    1650     1   
  34  47    2129     2   
  35  49    2789     -1  
  36  85    8563     -1  
  37  43    832      -1  
  40  53    1999     -1  
  41  48    1367     -1  
  42  46    1261     -1  
  43  63    3242     -1  
  44  45    183      1   
  45  50    1445     -1  
  46  67    5257     1   
  51  60    1472     2   
  56  68    3555     0   
  58  79    5387     -1  
  64  91    5094     2   
  71  77    750      0   
  71  78    1145     1   
  72  90    2107     -1  
  81  93    1980     0   
  86  91    605      1   
  87  101   863      -1  
  89  104   1816     -1  
  93  108   4162     1   
  93  112   2729     2   
  94  111   1496     0   
  111 117   1030     1   
  114 128   2713     0   
  118 126   2379     1   
End
