NMec = 98491
T = 28
P = 1
Profits not ignored
Solution time = 7.508e-03
Best Profit = 28428
Terminal Cases = 589249
Task date  Profit    P
  4   16    1036     0   
  4   277   21185    -1  
  43  65    4048     0   
  44  52    629      -1  
  53  66    2381     -1  
  56  78    3610     -1  
  71  78    630      0   
  81  106   4434     0   
  85  88    234      -1  
  104 114   1507     -1  
  109 114   1628     0   
  112 120   1023     -1  
  124 129   1385     0   
  142 155   3184     0   
  153 163   3136     -1  
  171 176   1191     0   
  179 188   2065     0   
  186 195   1515     -1  
  195 209   3003     0   
  199 211   967      -1  
  209 217   1556     -1  
  209 253   7860     -1  
  215 229   1456     0   
  227 248   1851     -1  
  244 250   864      0   
  249 271   3973     -1  
  261 264   335      0   
  263 267   685      -1  
End
