NMec = 98491
T = 37
P = 4
Profits not ignored
Solution time = 4.831e+01
Best Profit = 55940
Terminal Cases = 64716350
Task date  Profit    P
  2   14    3181     -1  
  5   21    1856     -1  
  5   45    5452     -1  
  6   9     1140     -1  
  8   91    21052    -1  
  13  67    6474     -1  
  14  15    297      -1  
  15  27    1477     -1  
  17  33    1733     -1  
  18  39    1340     -1  
  23  30    1876     -1  
  25  37    1659     -1  
  26  46    2436     -1  
  27  30    629      -1  
  33  41    1800     -1  
  35  42    1222     -1  
  35  45    1642     -1  
  36  39    407      -1  
  38  54    2410     -1  
  40  44    1395     -1  
  41  55    1389     -1  
  50  79    4981     -1  
  51  73    5389     -1  
  51  80    2717     -1  
  52  60    1078     -1  
  54  71    2764     -1  
  55  59    1184     -1  
  55  60    751      -1  
  55  62    601      -1  
  55  69    1834     -1  
  55  74    1895     -1  
  77  89    1762     -1  
  78  87    961      -1  
  79  82    558      -1  
  83  90    711      -1  
  86  90    1010     -1  
  86  92    724      -1  
End
