NMec = 98491
T = 17
P = 5
Profits not ignored
Solution time = 9.178e-04
Best Profit = 18961
Terminal Cases = 58336
Task date  Profit    P
  2   5     653      0   
  3   11    942      1   
  3   26    2467     2   
  4   17    2616     3   
  4   28    1597     4   
  6   15    1236     0   
  8   33    4209     -1  
  11  30    1598     -1  
  13  30    2096     1   
  14  28    1087     -1  
  16  22    661      0   
  17  27    1241     -1  
  18  30    2306     3   
  19  27    1164     -1  
  23  27    639      0   
  26  32    956      -1  
  29  33    819      0   
End
