NMec = 98491
T = 40
P = 7
Profits not ignored
Solution time = 4.374e+02
Best Profit = 49543
Terminal Cases = 37825279520
Task date  Profit    P
  0   17    3541     0   
  1   24    2307     1   
  3   28    3446     2   
  9   32    3268     3   
  10  24    3741     4   
  11  23    2162     5   
  12  19    744      6   
  13  21    1328     -1  
  14  38    3130     -1  
  16  29    2600     -1  
  16  36    3792     -1  
  18  30    1679     0   
  18  33    3764     -1  
  18  35    4191     -1  
  19  25    1111     -1  
  19  30    1715     -1  
  20  30    1443     6   
  20  34    3877     -1  
  21  32    1308     -1  
  21  33    1426     -1  
  22  34    1423     -1  
  23  36    2234     -1  
  24  34    2028     5   
  24  37    1294     -1  
  24  42    3627     -1  
  25  32    1486     1   
  28  31    400      4   
  28  37    913      -1  
  29  43    2322     2   
  32  51    3612     0   
  33  42    1747     1   
  33  45    1572     3   
  34  41    665      4   
  34  49    1238     6   
  35  44    1910     5   
  37  51    1950     -1  
  41  46    506      -1  
  43  48    1262     1   
  45  50    582      2   
  47  55    1634     3   
End
