NMec = 98491
T = 34
P = 1
Profits not ignored
Solution time = 4.552e-03
Best Profit = 62323
Terminal Cases = 354340
Task date  Profit    P
  4   185   44209    0   
  18  26    1466     -1  
  21  36    3309     -1  
  33  46    1406     -1  
  40  48    1422     -1  
  41  49    1289     -1  
  41  111   10395    -1  
  47  51    294      -1  
  48  62    2727     -1  
  51  77    3513     -1  
  60  76    3992     -1  
  61  85    2989     -1  
  94  213   10160    -1  
  96  114   2940     -1  
  101 109   859      -1  
  108 135   2776     -1  
  121 123   396      -1  
  172 193   3138     -1  
  177 200   5494     -1  
  182 201   2717     -1  
  183 199   1917     -1  
  185 213   5486     -1  
  187 198   1306     0   
  194 203   1393     -1  
  198 213   2352     -1  
  248 275   6207     0   
  250 276   3321     -1  
  266 279   1921     -1  
  267 284   1766     -1  
  288 309   2792     0   
  289 314   3087     -1  
  295 317   5398     -1  
  315 318   783      0   
  320 338   4157     0   
End
