NMec = 98491
T = 41
P = 1
Profits not ignored
Solution time = 3.152e-01
Best Profit = 97145
Terminal Cases = 37239505
Task date  Profit    P
  0   405   97145    -1  
  2   6     355      -1  
  8   169   28565    -1  
  19  33    1992     -1  
  21  165   14213    -1  
  22  29    987      -1  
  30  39    1584     -1  
  30  42    1634     -1  
  38  47    2530     -1  
  40  297   27568    -1  
  51  55    476      -1  
  52  58    1771     -1  
  60  64    449      -1  
  80  84    948      -1  
  83  87    728      -1  
  84  94    997      -1  
  86  108   3541     -1  
  106 121   1927     -1  
  108 116   895      -1  
  112 122   1838     -1  
  120 133   1302     -1  
  125 248   22577    -1  
  139 314   37482    -1  
  168 186   3939     -1  
  237 248   2355     -1  
  242 243   478      -1  
  242 256   2305     -1  
  265 281   2693     -1  
  267 284   2729     -1  
  270 288   3362     -1  
  272 285   1707     -1  
  282 293   1489     -1  
  311 335   2683     -1  
  316 321   973      -1  
  330 333   543      -1  
  335 353   3218     -1  
  347 353   764      -1  
  358 363   1119     -1  
  366 385   4307     -1  
  388 401   2961     -1  
  400 407   654      -1  
End
