NMec = 98491
T = 23
P = 8
Profits not ignored
Solution time = 5.626e-02
Best Profit = 35505
Terminal Cases = 4414284
Task date  Profit    P
  0   7     789      0   
  0   8     1908     1   
  0   15    1679     2   
  1   6     1020     3   
  1   24    5121     4   
  1   26    6088     5   
  2   10    580      6   
  2   19    2820     7   
  5   8     472      -1  
  5   22    3544     -1  
  6   22    2760     -1  
  6   25    4462     -1  
  7   24    3020     3   
  9   22    2890     0   
  10  28    3231     1   
  11  12    298      6   
  11  20    2763     -1  
  12  22    1479     -1  
  12  28    2572     -1  
  14  28    2554     6   
  15  29    2340     -1  
  15  29    2094     -1  
  18  28    671      2   
End
