NMec = 98491
T = 43
P = 1
Profits not ignored
Solution time = 1.111e+00
Best Profit = 85561
Terminal Cases = 83934298
Task date  Profit    P
  7   417   41670    -1  
  9   13    865      -1  
  21  385   78077    -1  
  29  319   55760    -1  
  48  57    909      -1  
  62  68    1095     -1  
  64  84    2124     -1  
  78  85    1876     -1  
  78  85    1036     -1  
  85  96    2409     -1  
  107 122   1712     -1  
  112 389   31978    -1  
  128 132   330      -1  
  131 148   3336     -1  
  134 141   985      -1  
  142 344   16214    -1  
  152 169   2019     -1  
  158 177   2052     -1  
  159 179   2544     -1  
  167 184   3562     -1  
  168 183   1877     -1  
  171 177   1635     -1  
  181 208   2910     -1  
  191 208   3809     -1  
  192 201   1648     -1  
  194 198   597      -1  
  233 239   925      -1  
  238 239   107      -1  
  246 259   2443     -1  
  264 272   1024     -1  
  293 307   1200     -1  
  305 324   3157     -1  
  318 334   2146     -1  
  352 374   2759     -1  
  371 388   2453     -1  
  380 388   1092     -1  
  384 398   2097     -1  
  392 406   1622     -1  
  392 406   3356     -1  
  397 412   2264     -1  
  399 410   1554     -1  
  410 417   1704     -1  
  421 429   1559     -1  
End
