NMec = 98491
T = 26
P = 2
Profits not ignored
Solution time = 4.806e-03
Best Profit = 23813
Terminal Cases = 609162
Task date  Profit    P
  16  19    544      0   
  16  98    4450     1   
  19  36    3929     -1  
  20  25    938      0   
  22  40    4036     -1  
  30  43    2477     0   
  36  43    816      -1  
  36  51    1365     -1  
  37  45    1051     -1  
  38  41    604      -1  
  46  58    2099     0   
  47  65    1983     -1  
  49  63    2391     -1  
  50  65    1184     -1  
  51  65    1490     -1  
  55  65    875      -1  
  56  69    1457     -1  
  77  88    1147     0   
  80  99    1054     -1  
  84  96    1627     -1  
  85  90    1083     -1  
  85  93    1263     -1  
  90  99    1028     0   
  93  112   3035     -1  
  105 126   3470     0   
  112 127   2008     1   
End
