NMec = 98491
T = 15
P = 2
Profits not ignored
Solution time = 4.792e-05
Best Profit = 22702
Terminal Cases = 3663
Task date  Profit    P
  1   46    8935     -1  
  3   20    3096     -1  
  7   20    3471     -1  
  11  17    777      -1  
  17  22    1328     -1  
  18  44    3550     -1  
  19  32    1842     -1  
  27  39    3058     -1  
  34  45    1965     -1  
  42  45    1178     -1  
  46  63    2236     -1  
  46  63    1660     -1  
  51  69    3468     -1  
  56  72    2592     -1  
  63  74    1721     -1  
End
