NMec = 98491
T = 23
P = 2
Profits not ignored
Solution time = 2.422e-03
Best Profit = 30316
Terminal Cases = 233598
Task date  Profit    P
  0   22    2279     -1  
  6   15    2202     -1  
  6   22    1660     -1  
  7   25    1604     -1  
  13  16    680      -1  
  13  74    14203    -1  
  16  24    1535     -1  
  17  71    5933     -1  
  18  27    1161     -1  
  24  37    3020     -1  
  32  36    1429     -1  
  36  49    2967     -1  
  36  55    3127     -1  
  40  61    2479     -1  
  57  68    2307     -1  
  64  66    365      -1  
  64  74    1281     -1  
  67  79    1286     -1  
  71  98    3440     -1  
  78  98    2350     -1  
  82  86    569      -1  
  90  102   1731     -1  
  96  112   2933     -1  
End
