NMec = 98491
T = 14
P = 4
Profits not ignored
Solution time = 1.175e-04
Best Profit = 23066
Terminal Cases = 8173
Task date  Profit    P
  0   34    8394     -1  
  1   18    2501     -1  
  2   5     398      -1  
  4   9     1321     -1  
  5   25    2284     -1  
  7   33    3513     -1  
  12  29    3432     -1  
  14  21    1309     -1  
  15  22    859      -1  
  15  26    1554     -1  
  22  34    3507     -1  
  23  29    972      -1  
  26  32    1289     -1  
  27  34    992      -1  
End
