NMec = 98491
T = 15
P = 6
Profits not ignored
Solution time = 2.352e-04
Best Profit = 16966
Terminal Cases = 19716
Task date  Profit    P
  1   14    2905     0   
  2   11    1591     1   
  2   14    1887     2   
  4   15    2499     3   
  5   19    1736     4   
  7   18    911      5   
  8   19    1408     -1  
  9   14    952      -1  
  9   15    1652     -1  
  11  26    2489     -1  
  12  19    774      1   
  12  23    1642     -1  
  12  28    2300     -1  
  16  26    1261     0   
  23  24    298      1   
End
