NMec = 98629
T = 29
P = 3
Profits ignored
Solution time = 9.208e-02
Programing Tasks = 15
Terminal Cases = 2640
Task date  Profit    P
  0   16    1        0   
  10  27    1        1   
  15  26    1        2   
  21  31    1        0   
  21  41    1        -1  
  30  36    1        1   
  32  54    1        -1  
  35  53    1        0   
  38  45    1        1   
  38  49    1        2   
  48  52    1        1   
  58  80    1        -1  
  64  81    1        -1  
  65  75    1        -1  
  67  81    1        -1  
  68  82    1        -1  
  69  73    1        0   
  69  77    1        1   
  69  90    1        -1  
  70  77    1        2   
  74  86    1        -1  
  74  89    1        -1  
  77  87    1        -1  
  77  91    1        -1  
  77  93    1        -1  
  78  92    1        -1  
  79  87    1        0   
  83  92    1        1   
  84  91    1        2   
End
