NMec = 98629
T = 35
P = 2
Profits ignored
Solution time = 3.345e-02
Programing Tasks = 14
Terminal Cases = 360
Task date  Profit    P
  1   98    1        -1  
  6   33    1        -1  
  11  166   1        -1  
  11  167   1        -1  
  13  31    1        -1  
  14  33    1        -1  
  22  28    1        0   
  25  75    1        -1  
  26  35    1        1   
  36  162   1        -1  
  39  81    1        -1  
  40  53    1        0   
  42  131   1        -1  
  45  54    1        -1  
  46  54    1        -1  
  47  55    1        1   
  48  65    1        -1  
  50  74    1        -1  
  50  131   1        -1  
  54  76    1        0   
  65  78    1        1   
  73  90    1        -1  
  76  87    1        -1  
  78  91    1        -1  
  80  83    1        0   
  82  103   1        1   
  87  98    1        0   
  90  112   1        -1  
  94  114   1        -1  
  99  118   1        0   
  108 109   1        1   
  120 137   1        -1  
  123 133   1        0   
  132 140   1        1   
  139 154   1        0   
End
