NMec = 98629
T = 34
P = 3
Profits ignored
Solution time = 1.611e+00
Programing Tasks = 20
Terminal Cases = 112
Task date  Profit    P
  1   17    1        -1  
  3   16    1        0   
  4   103   1        -1  
  8   16    1        1   
  8   111   1        -1  
  10  33    1        -1  
  10  60    1        -1  
  13  26    1        -1  
  14  22    1        2   
  17  64    1        -1  
  20  28    1        0   
  26  36    1        1   
  26  40    1        2   
  32  49    1        -1  
  33  45    1        0   
  38  53    1        1   
  39  55    1        -1  
  45  58    1        -1  
  46  58    1        0   
  48  68    1        -1  
  49  68    1        2   
  55  63    1        1   
  59  80    1        -1  
  61  64    1        0   
  65  69    1        0   
  66  111   1        -1  
  68  78    1        1   
  69  93    1        2   
  78  92    1        0   
  90  91    1        1   
  95  112   1        -1  
  96  102   1        0   
  96  107   1        1   
  102 113   1        2   
End
