NMec = 98629
T = 29
P = 5
Profits ignored
Solution time = 1.449e-01
Programing Tasks = 16
Terminal Cases = 195
Task date  Profit    P
  0   55    1        -1  
  1   23    1        0   
  3   11    1        1   
  5   43    1        -1  
  7   31    1        -1  
  8   28    1        -1  
  8   57    1        -1  
  9   28    1        2   
  11  15    1        3   
  12  14    1        1   
  12  36    1        -1  
  15  38    1        -1  
  16  51    1        -1  
  17  30    1        1   
  18  26    1        3   
  19  49    1        -1  
  23  39    1        4   
  24  31    1        0   
  26  45    1        -1  
  27  42    1        -1  
  29  34    1        2   
  29  45    1        3   
  30  52    1        -1  
  31  46    1        -1  
  36  52    1        0   
  37  54    1        1   
  42  55    1        2   
  42  56    1        4   
  46  55    1        3   
End
