NMec = 98629
T = 33
P = 4
Profits ignored
Solution time = 8.269e-01
Programing Tasks = 16
Terminal Cases = 8900
Task date  Profit    P
  6   24    1        -1  
  7   18    1        0   
  7   54    1        -1  
  8   24    1        -1  
  11  22    1        1   
  12  82    1        -1  
  14  31    1        -1  
  17  31    1        2   
  18  27    1        3   
  23  36    1        0   
  23  44    1        1   
  32  52    1        -1  
  39  51    1        -1  
  42  75    1        -1  
  44  50    1        0   
  44  63    1        2   
  46  51    1        1   
  46  60    1        3   
  49  75    1        -1  
  50  69    1        -1  
  51  73    1        -1  
  52  73    1        -1  
  53  74    1        -1  
  54  66    1        0   
  56  78    1        -1  
  58  70    1        -1  
  58  76    1        -1  
  59  69    1        -1  
  61  71    1        1   
  63  69    1        3   
  67  74    1        0   
  69  77    1        2   
  76  80    1        0   
End
